Year,Country,Winner,Runners-Up,Third,Fourth,GoalsScored,QualifiedTeams,MatchesPlayed,Attendance,Lattitude_w,Longitude_w
1930,Uruguay,Uruguay,Argentina,USA,Yugoslavia,70,13,18,590.549,34°50'S,56°11'W
1934,Italy,Italy,Czechoslovakia,Germany,Austria,70,16,17,363,41°54'N,12°29'E
1938,France,Italy,Hungary,Brazil,Sweden,84,15,18,375.7,41°54'N,12°29'E
1950,Brazil,Uruguay,Brazil,Sweden,Spain,88,13,22,1.045.246,34°50'S,56°11'W
1954,Switzerland,Germany FR,Hungary,Austria,Uruguay,140,16,26,768.607,52°30'N,13°25'E
1958,Sweden,Brazil,Sweden,France,Germany FR,126,16,35,819.81,15°47'S,47°55'W
1962,Chile,Brazil,Czechoslovakia,Chile,Yugoslavia,89,16,32,893.172,15°47'S,47°55'W
1966,England,England,Germany FR,Portugal,Soviet Union,89,16,32,1.563.135,51°36'N,00°05'W
1970,Mexico,Brazil,Italy,Germany FR,Uruguay,95,16,32,1.603.975,15°47'S,47°55'W
1974,Germany,Germany FR,Netherlands,Poland,Brazil,97,16,38,1.865.753,52°30'N,13°25'E
1978,Argentina,Argentina,Netherlands,Brazil,Italy,102,16,38,1.545.791,36°30'S,60°00'
1982,Spain,Italy,Germany FR,Poland,France,146,24,52,2.109.723,41°54'N,12°29'E
1986,Mexico,Argentina,Germany FR,France,Belgium,132,24,52,2.394.031,36°30'S,60°00'
1990,Italy,Germany FR,Argentina,Italy,England,115,24,52,2.516.215,52°30'N,13°25'E
1994,USA,Brazil,Italy,Sweden,Bulgaria,141,24,52,3.587.538,15°47'S,47°55'W
1998,France,France,Brazil,Croatia,Netherlands,171,32,64,2.785.100,48°50'N,02°20'E
2002,Korea/Japan,Brazil,Germany,Turkey,Korea Republic,161,32,64,2.705.197,52°30'N,13°25'E
2006,Germany,Italy,France,Germany,Portugal,147,32,64,3.359.439,41°54'N,12°29'E
2010,South Africa,Spain,Netherlands,Germany,Uruguay,145,32,64,3.178.856,40°25'N,03°45'W
2014,Brazil,Germany,Argentina,Netherlands,Brazil,171,32,64,3.386.810,52°30'N,13°25'E
